epoch,learning_rate,train_loss,train_energy_loss,train_qm_force_loss,train_mm_force_loss,train_energy_mae_kcal_mol,train_energy_rmse_kcal_mol,train_qm_force_mae_kcal_mol_a,train_qm_force_rmse_kcal_mol_a,train_mm_force_mae_kcal_mol_a,train_mm_force_rmse_kcal_mol_a,val_loss,val_energy_loss,val_qm_force_loss,val_mm_force_loss,val_energy_mae_kcal_mol,val_energy_rmse_kcal_mol,val_qm_force_mae_kcal_mol_a,val_qm_force_rmse_kcal_mol_a,val_mm_force_mae_kcal_mol_a,val_mm_force_rmse_kcal_mol_a
1,0.0005,2.0707949413404685,1.4198673774066066,0.5497535437259203,0.10117402020794151,9.093914282623542,11.163464249527081,4.55561374216987,7.28127334440898,0.008071507436693043,0.10272883748933065,2.1226964771271946,1.4675090906023212,0.5574838264145916,0.09770356011028151,9.236817888230112,11.328240099459272,4.5782785549044105,7.306679928531631,0.007964269688074154,0.10438581753191603
2,0.0005,1.734231602822846,1.088153097935085,0.5470919225772719,0.09898658231048917,7.8580130116031,9.505708241823818,4.537447926032197,7.264012727283621,0.00822522902539519,0.10172122412577034,1.943817652983309,1.292881746657699,0.551690339408208,0.09924556691740229,8.609114882744816,10.471277196155638,4.55210129865439,7.254470163768032,0.008939395179565945,0.10403818280513563
3,0.0005,1.697860189241079,1.0548894960110837,0.5406062221143714,0.10236447111562356,7.686530050955291,9.361885436241977,4.507166472389245,7.203674157846923,0.009928629245714346,0.10352899528379296,1.770590974646998,1.1267000389336406,0.5457844570295107,0.09810647868384699,7.811975031843425,9.754853705865596,4.521423614238582,7.208975406732051,0.010593835873181395,0.10857245369666754
4,0.0005,1.642158651067895,1.012479634127464,0.5289149646516474,0.10076405228878337,7.394904824332704,9.16049138010152,4.455088203266883,7.097091126491468,0.011180063788468262,0.10164713125788663,1.7565568142657717,1.127654930954547,0.5319084451988151,0.09699343811240971,7.814580887064316,9.742144373378911,4.459077539356346,7.07832688523785,0.011342483362816668,0.09728613928910747
5,0.0005,1.5238027020738398,0.9042720733089246,0.517742566605799,0.10178806215911652,7.058371116373656,8.609081161275672,4.405590627170344,6.986695271725679,0.011918775391521272,0.10020879272001505,1.5318469853244088,0.9164503197809969,0.5104639631128429,0.10493270243056879,7.077708559889413,8.68098056768714,4.37487556561805,6.8618122911267845,0.012891767112243716,0.10403916675718182
6,0.0005,1.3883613420362473,0.7802196609377829,0.5014079020382032,0.10673377906026067,6.473893872047185,7.949410794238252,4.33424450216613,6.823605597061798,0.01362993066997403,0.10089357622776611,1.5005205015677734,0.9034006075024802,0.48647500273447464,0.11064489133081862,6.948100110284968,8.61068147268419,4.272931394947214,6.639355600714856,0.015493100165731636,0.10043839659196843
7,0.0005,1.3343030635047988,0.7526194946645153,0.4612614212759854,0.12042214756429799,6.279395374287974,7.815930988923231,4.168064318827394,6.460389882643792,0.0171046636789559,0.10409014862335748,1.4964297298043103,0.9225265194611674,0.44753903666810096,0.1263641736750419,6.980037069566582,8.745074004520843,4.114720043558535,6.2880830463330835,0.018546346503620848,0.1049550715293733
8,0.0005,1.2540430056533702,0.691049911516362,0.43765250467098854,0.12534058946601967,5.994080736914281,7.481572851300861,4.066961706913264,6.23022899294494,0.01827588404460793,0.10321670788611442,1.2963610140440804,0.7532036595703491,0.42114587271677995,0.12201148175695145,6.307061292586093,7.811574072783819,4.007922708371432,6.04103083715075,0.017610162339914442,0.10341880770925757
9,0.0005,1.150502368004798,0.6161147449470555,0.41255250739229704,0.1218351156654454,5.625998577486425,7.046026039421242,3.966660115434172,5.996290831781352,0.017124439243934392,0.10289089765809725,1.2799568957476817,0.7542518174381684,0.40678613633363886,0.11891894197587426,6.296810711954912,7.84414059251477,3.9492825658284847,5.908627161691926,0.016385591598280177,0.10292323051618837
10,0.0005,1.0918381983838248,0.5723584116193305,0.40396452139373196,0.11551526537076222,5.441624947635534,6.7648267702196,3.932512066100771,5.911520004432425,0.01567007204824534,0.10034866277899365,1.2141516250412838,0.7053982438718057,0.39772959809144504,0.11102378307803298,6.108438611265476,7.5341806963789315,3.912673674237477,5.829231245516111,0.014839521076723382,0.09957906897765469
11,0.0005,1.0171420728253358,0.5150160982914177,0.3891853584446526,0.11294061608926555,5.106933562246984,6.408038539953362,3.872900054528648,5.773717762060474,0.014810370504820041,0.10073105308586945,1.2392765718249952,0.7462087524035679,0.37943134721890237,0.11363647220252485,6.279696623777142,7.7999248671969434,3.8407200028520636,5.665745103689782,0.014788269470858685,0.10196030009308868
12,0.0005,1.0007795974197269,0.5142179426125003,0.374547029778963,0.1120146250282636,5.1063197356110805,6.426131997040562,3.8136608093507336,5.637394792328094,0.014327549367908584,0.10081518579831839,1.1424934334643335,0.6673234761450487,0.3663139038869077,0.1088560534323773,5.9619320948505266,7.317120344769788,3.78789346631639,5.537124012991346,0.01366047690824606,0.10038360364250516
13,0.0005,0.9430037807628212,0.47300345972305075,0.360195066127833,0.10980525491193792,4.876986222899866,6.148668156081239,3.7574552187305237,5.500166286713002,0.013445496450833467,0.10069034415586466,1.1042691473911648,0.6423872206555928,0.3521629368183389,0.10971898991723295,5.770229926193913,7.199553304750761,3.7329395651161312,5.402363084750625,0.013216850389844449,0.10141592763534
14,0.0005,0.9098869131624622,0.45545417405013094,0.3463548094892579,0.10807792962307344,4.786804093981905,6.038108004104031,3.7022215193459136,5.371016629509157,0.012702193605277422,0.1002261992709882,1.124907454247066,0.6787669804211217,0.3419272353879973,0.10421323843794678,5.9960679766784075,7.367869813922507,3.6881501115790907,5.309656774894421,0.012014240561495642,0.10001195574727155
15,0.0005,0.9033053658640368,0.4608503093084786,0.3379588094990116,0.10449624705654653,4.855838103084857,6.078206606345183,3.664322488082669,5.292358183302886,0.011812479711384376,0.09983828635143879,0.9996336038802822,0.5625777388137359,0.33484858521645733,0.10220727985008887,5.399517759897173,6.709375742451814,3.658676124736796,5.250126146831697,0.011509819443268786,0.09947969471805101
16,0.0005,0.8477455318819161,0.4156664505539472,0.32940685197660724,0.10267222935136174,4.559220407140381,5.758633576871617,3.6286573550876473,5.213493619416245,0.011275534446728751,0.09937827016732283,1.1060253455649953,0.6796035533963091,0.3259324892309067,0.10048930293777941,5.99264084382878,7.3688100110801065,3.618524711277606,5.1692780253054,0.010841617042704126,0.09955226433359116
17,0.0005,0.8494013037618129,0.42721363239092586,0.3209496353248554,0.1012380360460318,4.652864850711915,5.830475656001199,3.590489194513064,5.13548574011488,0.010804706295095931,0.09864437726197882,0.9603309246718247,0.540298043003283,0.32019110874033974,0.09984177292820205,5.310215037551836,6.564983063490713,3.5936700234677637,5.119767031371525,0.010635042965350517,0.0998401088643774
